,player,position
1244,Niclas Füllkrug,FW
1245,Cristian Gamboa,FB
1246,Yannick Gerhardt,"CM, AM"
1247,Benedikt Gimber,CB
1248,Matthias Ginter,CB
1249,Jamie Gittens,AM
1250,Klaus Gjasula,"CB, CM"
1251,Leon Goretzka,CM
1252,Robin Gosens,FB
1253,Mario Götze,"CM, AM"
1254,Jeffrey Gouweleeuw,CB
1255,Michael Gregoritsch,FW
1256,Vincenzo Grifo,"AM, CM"
1257,Florian Grillitsch,"CB, CM"
1258,Álex Grimaldo,FB
1259,Christian Groß,CB
1260,Brajan Gruda,AM
1261,Raphaël Guerreiro,"FB, CM"
1262,Serhou Guirassy,FW
1263,Manuel Gulde,CB
1264,Robert Gumny,FB
1265,Christian Günter,FB
1266,Janik Haberer,CM
1267,Robin Hack,"AM, FW"
1268,Amadou Haidara,CM
1269,Andreas Hanche-Olsen,CB
1270,Dominique Heintz,FB
1271,Benjamin Henrichs,FB
1272,Piero Hincapié,CB
1273,Adam Hložek,AM
1274,Nicolas Höfler,CM
1275,Jonas Hofmann,AM
1276,Philipp Hofmann,FW
1277,Lucas Höler,"FW, AM"
1278,Fabian Holland,CM
1279,Benedict Hollerbach,FW
1280,Franck Honorat,"FB, AM"
1281,Mathias Honsak,AM
1282,Timo Hübers,CB
1283,Mats Hummels,CB
1284,Denis Huseinbasic,CM
1285,Iago,FB
1286,Thomas Isherwood,CB
1287,Ko Itakura,CB
1288,Hiroki Ito,"CB, FB"
1289,Lee Jae-sung,AM
1290,Kristijan Jakić,CM
1291,Fredrik Jensen,"CM, AM"
1292,Moritz Jenz,CB
1293,Anthony Jung,CB
1294,Josip Juranović,FB
1295,David Jurásek,FB
1296,Julian Justvan,"CM, AM"
1297,Ozan Kabak,CB
1298,Pavel Kadeřábek,FB
1299,Florian Kainz,"AM, CM"
1300,Jakub Kamiński,AM
1301,Kevin Kampl,CM
1302,Harry Kane,FW
1303,Atakan Karazor,CM
1304,Emir Karic,FB
1305,Silas Katompa,AM
1306,Mikkel Kaufmann,FW
1307,Yannik Keitel,CB
1308,Tobias Kempe,CM
1309,Rani Khedira,CM
1310,Luca Kilian,CB
1311,Joshua Kimmich,"CM, FB"
1312,Christoph Klarer,CB
1313,Tim Kleindienst,FW
1314,Lukas Klostermann,CB
1315,Ansgar Knauff,"AM, CM"
1316,Robin Knoche,CB
1317,Robin Koch,CB
1318,Dominik Kohr,"CB, CM"
1319,Manu Koné,CM
1320,Odilon Kossonou,CB
1321,Alex Král,CM
1322,Andrej Kramarić,"CM, AM"
1323,Tom Krauß,CM
1324,Lukas Kübler,"FB, CB"
1325,Maxence Lacroix,CB
1326,Aïssa Laïdouni,CM
1327,Konrad Laimer,"CM, FB"
1328,Stefan Lainer,FB
1329,Hugo Larsson,CM
1330,Diogo Leite,CB
1331,Jamie Leweling,AM
1332,Philipp Lienhart,CB
1333,Matthijs de Ligt,CB
1334,Dejan Ljubicic,"CM, AM"
1335,Anthony Losilla,CM
1336,Castello Lukeba,CB
1337,Senne Lynen,CM
1338,Ian Maatsen,FB
1339,Matej Maglica,CB
1340,Arne Maier,CM
1341,Linton Maina,"AM, CM"
1342,Patrick Mainka,CB
1343,Lovro Majer,"AM, CM"
1344,Jordy Makengo,FB
1345,Julián Malatini,CB
1346,Donyell Malen,AM
1347,Lennard Maloney,CM
1348,Omar Marmoush,FW
1349,Eric Martel,CM
1350,Erhan Mašović,CB
1351,Philipp Max,FB
1352,Eric Maxim Choupo-Moting,AM
1353,Noussair Mazraoui,FB
1354,Kevin Mbabu,FB
1355,Marvin Mehlem,"CM, AM"
1356,Thomas Meunier,FB
1357,Sven Michel,FW
1358,Enzo Millot,"AM, CM"
1359,Kim Min-jae,CB
1360,Maximilian Mittelstädt,FB
1361,Youssoufa Moukoko,FW
1362,Jannik Müller,CB
1363,Thomas Müller,AM
1364,Jamal Musiala,AM
1365,Phillipp Mwene,FB
1366,Joakim Mæhle,FB
1367,Nathan N'Goumou,"AM, CM"
1368,Stanley N'Soki,CB
1369,Luca Netz,FB
1370,Florian Neuhaus,CM
1371,Justin Njinmah,FW
1372,Niels Nkounkou,FB
1373,Felix Nmecha,CM
1374,Fabian Nürnberger,"FB, CM"
1375,Tim Oermann,FB
1376,Finn Ole Becker,CM
1377,Dani Olmo,AM
1378,Karim Onisiwo,"FW, AM"
1379,Loïs Openda,FW
1380,Willi Orban,CB
1381,Ivan Ordets,CB
1382,Patrick Osterhage,CM
1383,Salih Özcan,CM
1384,Willian Pacho,CB
1385,Gonçalo Paciência,FW
1386,Exequiel Palacios,CM
1387,Leart Paqarada,FB
1388,Kevin Paredes,"AM, CM"
1389,Felix Passlack,FB
1390,Aleksandar Pavlovic,CM
1391,Mads Pedersen,FB
1392,Jordan Pefok,FW
1393,Luca Pfeiffer,FW
1394,Patric Pfeiffer,CB
1395,Amos Pieper,CB
1396,Marvin Pieringer,"FW, AM"
1397,Alassane Pléa,FW
1398,Sebastian Polter,FW
1399,Yussuf Poulsen,FW
1400,Grischa Prömel,CM
1401,David Raum,FB
1402,Rocco Reitz,CM
1403,Marco Reus,"AM, CM"
1404,Elvis Rexhbeçaj,CM
1405,Marco Richter,AM
1406,Clemens Riedel,CB
1407,Rogério,FB
1408,Merlin Röhl,CM
1409,Anthony Rouault,CB
1410,Jérôme Roussillon,FB
1411,Julian Ryerson,FB
1412,Marcel Sabitzer,CM
1413,Roland Sallai,"AM, FW"
1414,Jadon Sancho,AM
1415,Leroy Sané,AM
1416,Joe Scally,"FB, CB"
1417,András Schäfer,CM
1418,Patrik Schick,FW
1419,Xaver Schlager,CM
1420,Keven Schlotterbeck,CB
1421,Nico Schlotterbeck,CB
1422,Romano Schmid,"CM, AM"
1423,Benno Schmitz,FB
1424,Jan Schöppner,CM
1425,Nicolas Seiwald,CM
1426,Davie Selke,FW
1427,Benjamin Šeško,FW
1428,Kevin Sessa,"CM, AM"
1429,Aaron Seydel,FW
1430,Tim Siersleben,CB
1431,Kiliann Sildillia,"FB, CB"
1432,Mohamed Simakan,"CB, FB"
1433,Xavi Simons,"AM, CM"
1434,Tim Skarke,"FW, FB, AM"
1435,Ellyes Skhiri,CM
1436,Robert Skov,FB
1437,Anton Stach,CM
1438,Jens Stage,CM
1439,Josip Stanišić,"CB, FB"
1440,Niklas Stark,CB
1441,Pascal Stenzel,FB
1442,Leonidas Stergiou,FB
1443,Angelo Stiller,CM
1444,Kevin Stöger,"CM, AM"
1445,Niklas Süle,CB
1446,Mattias Svanberg,CM
1447,Jonathan Tah,CB
1448,Edmond Tapsoba,CB
1449,Mathys Tel,AM
1450,Nathan Tella,"FB, AM"
1451,Norman Theuerkauf,CM
1452,Jan Thielmann,"FW, AM"
1453,Denis Thomalla,"FW, AM"
1454,Phillip Tietz,FW
1455,Steffen Tigges,FW
1456,Umut Tohumcu,CM
1457,Tiago Tomás,AM
1458,Lucas Tousart,CM
1459,Omar Traoré,FB
1460,Christopher Trimmel,FB
1461,Tuta,CB
1462,Deniz Undav,"FW, AM"
1463,Dayot Upamecano,CB
1464,Josha Vagnoman,FB
1465,Ruben Vargas,AM
1466,Miloš Veljković,CB
1467,Yorbe Vertessen,FW
1468,Oscar Vilhelmsson,FW
1469,Kevin Vogt,CB
1470,Kevin Vogt,CB
1471,Kevin Volland,FW
1472,Aster Vranckx,CM
1473,Luca Waldschmidt,AM
1474,Wout Weghorst,FW
1475,Julian Weigl,CM
1476,Mitchell Weiser,"FB, CM"
1477,Noah Weißhaupt,FB
1478,Silvan Widmer,FB
1479,Patrick Wimmer,AM
1480,Jonas Wind,FW
1481,Florian Wirtz,AM
1482,Maximilian Wittek,FB
1483,Maximilian Wöber,CB
1484,Marius Wolf,FB
1485,Nick Woltemade,FW
1486,Jeong Woo-yeong,AM
1487,Granit Xhaka,CM
1488,Dan-Axel Zagadou,CB
1489,Cedric Zesiger,CB
1490,Christoph Zimmermann,CB
1491,Yunis Abdelhamid,CB
1492,Salis Abdul Samed,CM
1493,Laurent Abergel,CM
1494,Matthis Abline,FW
1495,Zakaria Aboukhlal,AM
1496,Bénie Adama Traore,FW
1497,Akor Adams,FW
1498,Nathaniel Adjei,CB
1499,Emmanuel Agbadou,CB
1500,Ruben Aguilar,FB
1501,Tosin Aiyegun,AM
1502,Sergio Akieme,FB
1503,Maghnes Akliouche,"AM, CM"
1504,Mohamed Ali Cho,AM
1505,Nabil Alioui,AM
1506,Jim Allevinah,"AM, FB"
1507,Papa Amadou Diallo,AM
1508,Kelvin Amian,FB
1509,Michael Amir Murillo,FB
1510,Benjamin André,CM
1511,Hákon Arnar Haraldsson,AM
1512,Marco Asensio,"CM, AM"
1513,Joel Asoro,AM
1514,Lorenz Assignon,FB
1515,Valentin Atangana Edoa,CM
1516,Arthur Atta,CM
1517,Pierre-Emerick Aubameyang,"FW, AM"
1518,André Ayew,FW
1519,Neil El Aynaoui,CM
1520,Tiemoué Bakayoko,CM
1521,Dilane Bakwa,"AM, CM"
1522,Leonardo Balerdi,CB
1523,Folarin Balogun,FW
1524,Mohamed Bamba,FW
1525,Bradley Barcola,AM
1526,Melvin Bard,FB
1527,Jeanuël Belocian,"CB, FB"
1528,Wissam Ben Yedder,FW
1529,Saïd Benrahma,AM
1530,Nabil Bentaleb,CM
1531,Lucas Beraldo,"CB, FB"
1532,Ludovic Blas,"AM, CM"
1533,Jeremie Boga,AM
1534,Ângelo Borges,AM
1535,Neto Borges,FB
1536,Hicham Boudaoui,CM
1537,Benjamin Bourigeaud,"CM, AM"
1538,Bilal Boutobba,AM
1539,Lilian Brassier,CB
1540,Rémy Cabella,AM
1541,Duje Ćaleta-Car,CB
1542,Lamine Camara,"CM, AM"
1543,Mahdi Camara,"CM, AM"
1544,Mohamed Camara,CM
1545,Fali Candé,CB
1546,Maxence Caqueret,CM
1547,Josué Casimir,"AM, FB, FW"
1548,Cristian Cásseres Jr.,CM
1549,Jean-Charles Castelletto,CB
1550,Maximiliano Caufriez,CB
1551,Ivan Cavaleiro,AM
1552,Muhammed Cham,AM
1553,Brendan Chardonnet,CB
1554,Jhoanner Chávez,FB
1555,Rayan Cherki,AM
1556,Pedro Chirivella,CM
1557,Joris Chotard,CM
1558,Alexis Claude-Maurice,CM
1559,Jonathan Clauss,FB
1560,Marcus Coco,FB
1561,Maxime Colin,FB
1562,Eray Cömert,CB
1563,David Pereira da Costa,"AM, CM"
1564,Logan Costa,CB
1565,Tanguy Coulibaly,AM
1566,Nicolas Cozza,FB
1567,Thijs Dallinga,FW
1568,Kevin Danso,CB
1569,Dante,CB
1570,Mohammed Daramy,"FW, AM"
1571,Jonathan David,FW
1572,Thibault De Smet,FB
1573,Romain Del Castillo,AM
1574,Thomas Delaine,"FB, CM"
1575,Ousmane Dembélé,"AM, CM"
1576,Jessy Deminguet,CM
1577,Mikkel Desler,FB
1578,Bafodé Diakité,"CB, FB"
1579,Oumar Diakité,FW
1580,Habib Diarra,"CM, AM"
1581,Moussa Diarra,"CB, FB"
1582,Krépin Diatta,FB
1583,Bamba Dieng,FW
1584,Sinaly Diomande,CB
1585,Sofiane Diop,AM
1586,Andy Diouf,CM
1587,Désiré Doué,"CM, AM"
1588,Guela Doué,FB
1589,Douglas,CM
1590,Ismaël Doukouré,CM
1591,Kamory Doumbia,CM
1592,Jean-Kevin Duverne,FB
1593,Aron Dønnum,"AM, CM"
1594,Simon Elisor,FW
1595,Emanuel Emegha,FW
1596,Maxime Estève,CB
1597,Romain Faivre,AM
1598,Khalil Fayad,AM
1599,Jordan Ferri,CM
1600,Malick Fofana,AM
1601,Youssouf Fofana,CM
1602,Thomas Foket,FB
1603,Przemysław Frankowski,FB
1604,Angelo Fulgini,AM
1605,Kévin Gameiro,"AM, FW"
1606,Ulisses Garcia,FB
1607,Johan Gastien,CM
1608,Yann Gboho,AM
1609,Gelabert,AM
1610,Denis Genreau,"CB, CM"
1611,Samuel Gigot,CB
1612,Aleksandr Golovin,"AM, CM"
1613,Angel Gomes,"CM, AM"
1614,Maxime Gonalons,CM
1615,Amine Gouiri,"AM, FW"
1616,Jonathan Gradit,CB
1617,Samuel Grandsir,AM
1618,Gabriel Gudmundsson,"FB, AM"
1619,Evann Guessand,FW
1620,Pape Gueye,CM
1621,Morgan Guilavogui,FW
1622,Frederic Guilbert,"FB, CB"
1623,Massadio Haïdara,"CB, FB"
1624,Achraf Hakimi,FB
1625,Amine Harit,"CM, AM"
1626,Silvan Hefti,FB
1627,Henrique,FB
1628,Luis Henrique,"AM, FB"
1629,Christophe Hérelle,CB
1630,Lucas Hernández,"FB, CB"
1631,Ismaily,FB
1632,Junya Ito,"AM, FW, CM"
1633,Ismail Jakobs,FB
1634,Ablie Jallow,AM
1635,Danley Jean-Jacques,CM
1636,Antoine Joujou,AM
1637,Christopher Jullien,CB
1638,Eli Junior Kroupi,FW
1639,Abdoul Kader Bamba,AM
1640,Tino Kadewere,FW
1641,Arnaud Kalimuendo,FW
1642,Gedeon Kalulu,FB
1643,Waren Kamanzi,FB
1644,Lee Kang-in,"AM, CM"
1645,Ayman Kari,AM
1646,Panos Katseris,FB
1647,Kévin Keben Biakolo,CB
1648,Yassine Kechta,CM
1649,Thilo Kehrer,"CB, FB"
1650,Habib Keita,CM
1651,Reda Khadra,FW
1652,Wahbi Khazri,AM
1653,Abdukodir Khusanov,CB
1654,Randal Kolo Muani,"FW, AM"
1655,Cheick Konaté,FB
1656,Geoffrey Kondogbia,CM
1657,Amadou Koné,CM
1658,Koffi Kouao,FB
1659,Boubakar Kouyaté,CB
1660,Sael Kumbedi,FB
1661,Daler Kuzyaev,"CM, AM"
1662,Grejohn Kyei,FW
1663,Gaëtan Laborde,AM
1664,Alexandre Lacazette,FW
1665,Kenny Lala,FB
1666,Mohamed Lamine Bayo,FW
1667,Didier Lamkel Zé,FW
1668,Julien Laporte,CB
1669,Théo Le Bris,FB
1670,Julien Le Cardinal,CB
1671,Jérémy Le Douaron,AM
1672,Enzo Le Fée,CM
1673,Vincent Le Goff,FB
1674,Pierre Lees-Melou,CM
1675,Léo Leroy,CM
1676,Gautier Lloris,CB
1677,Bradley Locko,FB
1678,Renan Lodi,FB
1679,Jordan Lotomba,FB
1680,Imran Louza,CM
1681,Dejan Lovren,CB
1682,Deiver Machado,FB
1683,Soungoutou Magassa,CB
1684,Hugo Magnetti,CM
1685,Yohann Magnin,CM
1686,Frank Magri,"FW, AM"
1687,Ainsley Maitland-Niles,FB
1688,Jean-Victor Makengo,CM
1689,Guillermo Maripán,CB
1690,Marquinhos,CB
1691,Jonas Martin,CM
1692,Clinton Mata,"FB, CB"
1693,Nemanja Matić,CM
1694,Nemanja Matić,CM
1695,Chrislain Matsima,CB
1696,Azor Matusiwa,CM
1697,Azor Matusiwa,CM
1698,Christian Mawissa,"CB, FB"
1699,Kylian Mbappé,"FW, AM"
1700,Chancel Mbemba,CB
1701,Facundo Medina,CB
1702,Bamo Meïté,CB
1703,Benjamin Mendy,FB
1704,Formose Mendy,CB
1705,Nampalys Mendy,CM
1706,Quentin Merlin,FB
1707,Quentin Merlin,FB
1708,Georges Mikautadze,FW
1709,Takumi Minamino,"AM, CM"
1710,Lucas Mincarelli,FB
1711,Terem Moffi,FW
1712,Mostafa Mohamed,FW
1713,Dion Moise Sahi,AM
1714,Florent Mollet,"AM, CM"
1715,Lebo Mothiba,FW
1716,Steve Mounié,FW
1717,Samuel Moutoussamy,CM
1718,Nordi Mukiele,FB
1719,Marshall Munetsi,CM
1720,Junior Mwanga,CM
1721,Kévin N'Doram,CM
1722,Keito Nakamura,AM
1723,Youssouf Ndayishimiye,CM
1724,Iliman Ndiaye,"AM, FW"
1725,Rassoul Ndiaye,CM
1726,Joseph Nduquidi,CM
1727,Loïc Nego,"FB, CM"
1728,Shamar Nicholson,FW
1729,Rasmus Nicolaisen,CB
1730,Arnaud Nordin,AM
1731,Ernest Nuamah,AM
1732,Gerzino Nyamsi,CB
1733,Jake O'Brien,CB
1734,Florent Ogier,CB
1735,Joseph Okumu,CB
1736,Warmed Omari,CB
1737,Becir Omeragic,"CB, CM"
1738,Jean Onana,CM
1739,Christopher Operi,FB
1740,Gift Orban,FW
1741,Kassoum Ouattara,FB
1742,Azzedine Ounahi,CM
1743,Nicolas Pallois,CB
1744,Andy Pelmard,CB
1745,Faris Pemi Moumbagna,FW
1746,Danilo Pereira,CB
1747,Mathias Pereira Lage,AM
1748,Lucas Perrin,CB
1749,Ronaël Pierre-Gabriel,FB
1750,Julien Ponceau,"AM, CM"
1751,Gonçalo Ramos,FW
1752,Elba Rashani,AM
1753,Alexsandro Ribeiro,CB
1754,Amir Richardson,CM
1755,Valentin Rongier,CM
1756,Pablo Rosario,"CM, CB, FB"
1757,Fabián Ruiz Peña,CM
1758,Emmanuel Sabbi,AM
1759,Falaye Sacko,FB
1760,Modibo Sagnan,CB
1761,Wesley Saïd,FW
1762,Ibrahim Salah,AM
1763,Mohammed Salisu,CB
1764,Yoann Salmier,"CB, FB"
1765,Mama Samba Baldé,FW
1766,Sadibou Sané,CB
1767,Arouna Sangante,"CB, FB"
1768,Morgan Sanson,CM
1769,Baptiste Santamaria,CM
1770,Andrey Santos,CM
1771,Tiago Santos,FB
1772,Ismaila Sarr,AM
1773,Martin Satriano,"FW, AM"
1774,Téji Savanier,"AM, CM"
1775,Niklas Schmidt,CM
1776,Alidu Seidu,"CB, FB"
1777,Alidu Seidu,"CB, FB"
1778,Marvin Senaya,FB
1779,Vincent Sierro,CM
1780,Caio Henrique Oliveira Silva,FB
1781,Moses Simon,AM
1782,Wilfried Singo,CB
1783,Ibrahima Sissoko,CM
1784,Moussa Sissoko,"CM, AM"
1785,Milan Škriniar,CB
1786,Carlos Soler,CM
1787,Florian Sotoca,"AM, FW"
1788,Saidou Sow,CB
1789,Stijn Spierings,CM
1790,Gabriel Suazo,FB
1791,Abakar Sylla,CB
1792,Issiaga Sylla,FB
1793,Musa Al-Taamari,AM
1794,Nicolás Tagliafico,FB
1795,Montassar Talbi,CB
1796,Oussama Targhalline,CM
1797,Enzo Tchato,FB
1798,Martin Terrier,"FW, AM"
1799,Teddy Teuma,CM
1800,Arthur Theate,CB
1801,Adrien Thomasson,AM
1802,Khéphren Thuram,CM
1803,Cheikh Tidiane Sabaly,AM
1804,Jean-Clair Todibo,CB
1805,Corentin Tolisso,CM
1806,Abdoulaye Touré,CM
1807,Souleymane Touré,CB
1808,Ismaël Traoré,CB
1809,Adrien Truffert,FB
1810,Matthieu Udol,FB
1811,Manuel Ugarte Ribeiro,CM
1812,Kévin Van Den Kerkhof,AM
1813,Vanderson,FB
1814,Jordan Veretout,CM
1815,Alan Virginius,AM
1816,Vitinha,FW
1817,Vitinha,CM
1818,Elye Wahi,FW
1819,Josh Wilson-Esbrand,FB
1820,Christopher Wooh,CB
1821,Yusuf Yazıcı,AM
1822,Bertuğ Yıldırım,FW
1823,Darlin Yongwa,FB
1824,Leny Yoro,CB
1825,Etienne Youte Kinkoue,CB
1826,Warren Zaïre-Emery,CM
1827,Denis Zakaria,"CM, CB"
1828,Mehdi Zeffane,FB
1829,Nathan Zeze,CB
1830,Edon Zhegrova,AM
